call_id,timestamp,channel,language,region,is_premium,prior_contacts_30d,sentiment,intent,best_queue,first_utterance,complexity_score,observed_aht_best,split
48c4466c-e3d2-462f-9526-f08ffed89561,2025-08-03T06:42:33,chat,en,NA,0,0,-1,retention,Retention,I want to cancel my subscription—it's too expensive.,0.37,668,train
0ac53872-13a1-427a-8719-eb2fe64f979a,2025-08-03T11:44:33,phone,en,NA,0,0,0,tech,Tech,The website crashes when I try to checkout.,3.81,782,train
ead46d6b-c244-407e-a23b-ddb49ff4288d,2025-08-03T12:56:33,phone,en,EU,1,1,0,billing,Billing,My invoice looks wrong—why is there an extra fee?,1.83,480,train
79fad700-a4c7-4ae8-969f-7754d5da77b0,2025-08-03T14:08:33,phone,en,LATAM,0,0,0,account,Account,How do I change the email on my account?,7.41,687,train
9ff01472-a78b-4182-8a37-34321049ee05,2025-08-03T14:09:33,chat,en,NA,0,2,0,account,Retention,Please help me verify my profile and device.,5.85,557,train
a52a85c6-cf18-449b-b90f-faed473c6270,2025-08-03T15:40:33,chat,es,APAC,0,1,0,tech,Tech,My password reset link isn't working.,6.58,979,train
ac72873b-3147-4b0a-bd5a-fe8199dd1c1b,2025-08-03T16:29:33,chat,en,NA,0,0,0,account,Account,I can’t see my past orders in my account.,5.41,568,train
3a4a2c4e-6ee1-4956-bf20-6e64e8535c09,2025-08-03T16:42:33,phone,en,NA,0,1,0,account,Account,I need to update my address and phone number.,5.7,700,train
dcdc20aa-6744-47da-8d85-38fd1aa50fc6,2025-08-03T17:13:33,chat,en,EU,0,1,1,tech,Tech,The website crashes when I try to checkout.,5.21,954,train
a30ae67d-86b3-4429-b759-80aedc8c5f32,2025-08-03T18:42:33,phone,en,LATAM,0,1,1,account,Tech,Please help me verify my profile and device.,7.28,828,train
4f8999cf-3bf3-47e2-8b20-4be6d7f67371,2025-08-03T19:27:33,phone,en,NA,0,0,1,account,Account,How do I change the email on my account?,6.06,563,train
13ceacad-3a95-4c29-a0ea-0913512f3483,2025-08-03T20:51:33,chat,en,NA,0,2,0,billing,Billing,I was charged twice on my card and need a refund.,6.69,748,train
9cf9091b-769d-4285-843f-220903c124f9,2025-08-03T22:53:33,chat,en,NA,0,1,1,tech,Tech,The website crashes when I try to checkout.,2.94,777,val
b21bca0b-df9d-4f93-bf63-2b3ca5540703,2025-08-03T23:56:33,chat,en,APAC,0,1,-1,retention,Retention,I want to cancel my subscription—it's too expensive.,4.74,835,train
01841385-921b-41f3-aba3-a62e949063fd,2025-08-03T23:57:33,phone,en,EU,0,0,0,billing,Billing,I want to change my payment method and check a recent charge.,7.34,705,train
c2c4dab3-ed12-4f7b-9d7b-a8759d5236fd,2025-08-04T01:03:33,chat,en,LATAM,0,1,1,account,Account,I can’t see my past orders in my account.,4.7,599,train
dac90e78-4303-4f64-9cb3-e9a02a580bc4,2025-08-04T01:31:33,chat,en,LATAM,0,3,-1,tech,Tech,My password reset link isn't working.,2.47,785,train
d42cc505-19fd-4676-a941-6dccbbb8c5b8,2025-08-04T03:12:33,chat,en,NA,1,2,-1,retention,Retention,How do I close my account permanently?,4.46,766,train
dd949f3d-439f-498d-abe9-b042d79b6222,2025-08-04T03:25:33,phone,en,EU,0,0,0,billing,Billing,I was charged twice on my card and need a credit.,5.94,724,val
89abdf30-5ad1-4633-a119-b8364fe8c477,2025-08-04T04:27:33,chat,en,NA,0,0,0,account,Account,How do I change the email on my account?,5.91,606,test
af8319b4-7ed6-44a4-8704-52624a84446f,2025-08-04T05:46:33,phone,en,NA,1,1,0,account,Account,I can’t see my past orders in my account.,2.31,475,val
54c329c1-cb3b-486b-8ed3-ced2e3c89e7c,2025-08-04T06:22:33,phone,en,NA,0,0,0,account,Account,I need to update my address and phone number.,2.66,535,test
536b3d36-132e-433d-82ee-2779d7f211cf,2025-08-04T08:13:33,chat,es,NA,0,1,0,tech,Tech,The website crashes when I try to checkout.,2.85,906,test
1d766af2-6945-4ea3-849e-edddd719f023,2025-08-04T08:13:33,chat,en,NA,0,1,0,billing,Billing,My invoice looks wrong—why is there an extra fee?,4.9,759,train
f6da9075-eea2-4449-becd-11fbb7a8adde,2025-08-04T10:01:33,phone,en,LATAM,0,0,-1,retention,Retention,I'm considering switching to a competitor—what can you offer?,3.88,864,train
08235cb9-b027-42fd-816c-11e4cf652e03,2025-08-04T10:03:33,chat,en,EU,0,3,0,billing,Billing,I want to change my payment method and check a recent charge.,0,496,train
c727e61a-fa0e-48e4-b1bb-2d2ee525692c,2025-08-04T10:46:33,phone,es,APAC,0,0,-1,retention,Retention,I'm considering switching to a competitor—what can you offer?,3.91,768,train
78cc47bb-9fbf-4666-a3c8-4db328e84ec7,2025-08-04T11:37:33,phone,en,NA,0,2,0,billing,Billing,I want to change my payment method and check a recent charge.,2.31,516,train
bee4d667-dadf-4d04-8c72-882625165e55,2025-08-04T12:37:33,phone,en,NA,0,1,0,tech,Tech,The app keeps showing an bug and won't let me log in.,2.57,865,train
78bb3067-4fcc-4e00-8c6d-e9e7445ac165,2025-08-04T12:46:33,chat,en,NA,0,0,-1,billing,Billing,I was charged twice on my card and need a refund.,4.47,680,train
d2d9e152-c4e5-4212-82d4-7f7dfe175b52,2025-08-04T14:35:33,chat,en,NA,0,1,-1,billing,Billing,I want to change my payment method and check a recent charge.,7.01,903,train
17553b3b-6479-41bc-9959-38f02e439cef,2025-08-04T14:39:33,phone,en,EU,0,0,-1,retention,Retention,I want to cancel my subscription—it's too expensive.,2.47,722,train
f7ce0658-35cb-417e-aa48-02262a186c48,2025-08-04T14:50:33,chat,en,NA,0,0,0,tech,Tech,My password reset link isn't working.,4.84,784,train
d50b99ca-2bc3-4ba1-aef5-572bd3ecdc28,2025-08-04T16:45:33,chat,en,APAC,0,1,-1,retention,Retention,I'm considering switching to a competitor—what can you offer?,3.2,902,val
a20fe561-13fb-4d7b-a424-520759191fe3,2025-08-04T17:19:33,chat,en,NA,0,0,0,billing,Billing,I want to change my payment method and check a recent charge.,4.11,567,train
b190a9b3-869b-4912-969b-01295132f3ff,2025-08-04T17:36:33,phone,en,NA,0,0,0,retention,Retention,How do I close my account permanently?,6.23,766,val
49b4a267-f5ce-4a54-a8cc-e1354309fb5a,2025-08-04T18:26:33,phone,en,APAC,1,0,0,retention,Retention,Please pause or cancel my membership for a few months.,3.93,620,train
1bae3ca1-ac52-4236-a3f8-edf41cddc999,2025-08-04T18:59:33,phone,es,LATAM,0,0,-1,billing,Billing,I want to change my payment method and check a recent charge.,3.83,618,train
e8074dc6-6203-4042-86b0-3d5baa3972dc,2025-08-04T18:59:33,phone,en,NA,1,1,0,retention,Retention,How do I close my account permanently?,3.05,683,train
b2babfaf-6f5d-42d5-b4c1-06508f60987e,2025-08-04T19:07:33,phone,en,EU,0,0,-1,tech,Tech,The website crashes when I try to checkout.,2.89,818,train
33da8c60-9550-4018-863b-44ab7de29133,2025-08-04T21:31:33,phone,en,NA,0,1,-1,tech,Tech,I’m getting a 500 issue on the payment page.,1.08,911,train
4d5fb607-1e82-4e64-9c2f-021743949bd2,2025-08-05T00:18:33,chat,en,NA,0,1,0,account,Retention,How do I change the email on my account?,4.66,637,train
f50c274a-2900-4da0-9b45-7f84060efb70,2025-08-05T00:40:33,phone,en,NA,0,0,1,billing,Billing,I was charged twice on my card and need a credit.,4.27,615,train
2bf11629-bb3c-4f58-baab-239b8a42b028,2025-08-05T03:04:33,phone,en,NA,0,3,-1,tech,Tech,The app keeps showing an bug and won't let me log in.,4.57,972,test
4f082109-73d0-4014-807c-2ac25b4a8455,2025-08-05T05:19:33,phone,es,EU,0,0,-1,billing,Billing,My invoice looks wrong—why is there an extra fee?,8.1,802,train
c4bf8608-81e3-4322-8202-272d78d3652d,2025-08-05T05:30:33,chat,en,NA,1,2,-1,retention,Retention,How do I close my account permanently?,4.84,779,train
52d803c4-a35a-40bf-ae2c-b7f009a9c6b7,2025-08-05T06:58:33,phone,es,NA,0,0,0,tech,Tech,The app keeps showing an issue and won't let me log in.,2.03,733,train
9e70650b-9f5e-4b19-b2dd-e446c7b5caf0,2025-08-05T07:41:33,phone,en,LATAM,0,1,-1,billing,Billing,I was charged twice on my card and need a refund.,3.24,685,train
414c6a97-91b6-42ac-a9dd-63d32d8e49b7,2025-08-05T08:24:33,phone,en,APAC,0,0,-1,tech,Tech,I’m getting a 500 issue on the payment page.,4.98,902,train
cfe9d8a8-7a5d-45c8-b446-b6bfa9a99ea8,2025-08-05T09:06:33,chat,en,NA,0,0,0,billing,Billing,My invoice looks wrong—why is there an extra fee?,4.39,532,train
82cf1445-3d66-4deb-9d85-6050e7230ffe,2025-08-05T09:47:33,phone,es,EU,0,0,0,billing,Billing,I want to change my payment method and check a recent charge.,5.2,642,train
2d4dc328-93f5-4fc1-8479-6079d247e259,2025-08-05T10:18:33,phone,en,EU,0,1,0,retention,Retention,I'm considering switching to a competitor—what can you offer?,4.6,823,train
3260d5b3-6515-416b-946d-7a1536873658,2025-08-05T10:33:33,chat,en,NA,0,0,0,retention,Retention,I want to cancel my subscription—it's too expensive.,4.67,757,train
